Category;Source;subtitle;article_text;Link
0;Forbes;Peña Nieto se reúne con Meade a *NUMBER* días de su derrota electoral;"Peña Nieto se reúne con Meade a *NUMBER* días de su derrota electoral
El presidente agradeció la colaboración de Meade durante su administración y le deseó éxito a él y a su familia.Foto: Facebook Enrique Peña Nieto
El presidente Enrique Peña Nieto recibió esta tarde a José Antonio Meade Kuribreña, candidato de la coalición PRI-PVEM-Panal a la Presidencia de la República y quien quedó en tercer lugar en la contienda electoral.
El mandatario le reconoció la convicción democrática que mostró a lo largo de su campaña en las elecciones y durante la jornada electoral del *NUMBER* de julio.
Asimismo, agradeció la colaboración de Meade durante su administración y le deseó éxito a él y a su familia en los proyectos personales y profesionales que emprendan.
Ambos coincidieron en la importancia de mantener la unidad de los mexicanos, así como de seguir mejorando a nuestras instituciones, de acuerdo con un comunicado de Presidencia.
El exsecretario de Hacienda recibió en la pasada jornada electoral *NUMBER* millones *NUMBER* votos, de acuerdo con el cómputo distrital del INE, equivalentes al *NUMBER*% del total, el peor resultado de un abanderado del PRI en las elecciones presidenciales.
Además de encabezar Hacienda, Meade fue titular de las secretarías de Relaciones Exteriores y de Desarrollo Social en el sexenio de Peña Nieto.";https://www.forbes.com.mx/pena-nieto-se-reune-con-el-excandidato-jose-antonio-meade/
1;Razon;Diputada de Morena impidió llegada de pipas a Iztapalapa;"Diputada de Morena impidió llegada de pipas a Iztapalapa
Grupos afines a Morena llevan dos días bloqueando vialidades; impiden el paso de pipas de agua, pues acusan politización de la escasez
Desde ayer grupos afines a Morena han realizado bloqueos en vialidades con el objeto de impedir la llegada de pipas de agua enviadas por la delegación de Iztapalapa, gobernada por la perredista Dione Anguiano Flores.
Hoy, por ejemplo, se realizó un bloqueo sobre la calzada Ermita Iztapalapa, el cual fue encabezado por la diputada federal de Morena Ana Leticia Carrera Hernández, quien impidió que pipas de agua llegaran a personas afectadas por el sismo de *NUMBER*° Richter del *NUMBER* de septiembre.
Cabe señalar que dicho movimiento telúrico provocó daños y fugas en dos de los tres tanques de agua que abastecen de agua a Iztapalapa, lo que dejó al *NUMBER*% de las *NUMBER* colonias de la demarcación sin acceso al líquido vital.
En este sentido, la demarcación perredista puso en marcha un operativo de distribución de agua a través de pipas, el cual implica un promedio de *NUMBER* viajes diarios, lo que a decir del diputado federal adscrito a Morena, Jesús Salvador Valencia Guzmán, ha sido utilizado con fines partidistas desde la jefatura delegacional.
Motivo por el cual han justificado el actuar de los grupos afines a Morena que han impedido el paso de pipas mediante el bloqueo de vialidades, lo que ha agravado la ya de por sí crítica situación de la población de Iztapalapa que de antaño ha padecido por la falta de agua.
A la legisladora federal Ana Leticia Carrera Hernández se le identifica como allegada al también diputado Jesús Valencia Guzmán, otrora delegado perredista de la demarcación, y hoy legislador recientemente sumado a Morena, partido liderado por el tabasqueño Andrés Manuel López Obrador.
Finalmente señalar, que de acuerdo a Valencia Guzmán, anteriormente ninguna administración en Iztapalapa había lucrado políticamente con la falta de agua, y que es Anguiano, la que ""politiza el abasto del líquido ""otorgándoselo sólo a quienes poseen una credencial con su nombre y el de un operador sectorial de la delegación"".
Lo cual, dijo, ""ha causado molestia en una buena parte de los vecinos que no tienen una coordinación política con la delegación"".";https://www.razon.com.mx/bloqueo-diputada-morena-impide-llegada-pipas-a-iztapalapa/
0;El país;Meade promete combatir la inseguridad en su cierre de campaña;"Meade promete combatir la inseguridad en su cierre de campaña
El candidato del PRI asegura en Coahuila que impedirá el financiamiento y el armamento de los grupos criminales
José Antonio Meade, candidato del PRI a la presidencia de México, ha lanzado su último dardo para apuntar hacia la inseguridad en el país. El exministro de Hacienda ha celebrado su cierre de campaña en la ciudad de Saltillo (Estado de Coahuila, norte del país) y allí ha asegurado que de llegar a Los Pinos evitará que los grupos criminales continúen recibiendo financiamiento y armamento. Meade ha tocado el tema en una región seriamente afectada por la lucha entre carteles de la droga y donde los ciudadanos han presenciado algunos de los episodios más violentos en la última década en México. Los seguidores de Meade se reunieron en el Parque Las Maravillas, en un pequeño anfiteatro al lado del Museo del Desierto –que posee la colección más grande de fósiles de dinosaurios del país–. Niños y mujeres, principalmente, llenaron el recinto donde el candidato estuvo menos de una hora. El ex ministro de Hacienda ha mencionado que eligió Coahuila para terminar los tres meses de campaña porque el Estado es la cuna de personajes de la Revolución que defendieron la democracia como Francisco I. Madero y Venustiano Carranza. Saltillo es también la tierra de los Moreira –Humberto y Rubén–, ambos exgobernadores del Estado y que dejaron una estela de desvíos financieros y corrupción en el servicio público. El candidato habló en su último mitin directamente del asesinato –hace *NUMBER* días– del candidato a diputado federal del PRI en Piedras Negras, Fernando Purón. ""Él dedicó su vida a luchar contra la inseguridad y la violencia. No hay mejor manera de honrar su memoria que trabajando con valentía y sin descanso para darle tranquilidad y seguridad a las familias mexicanas"", ha dicho. A su lado estaban su coordinador de campaña, Aurelio Nuño; Vanessa Rubio, una de sus principales asesoras; el presidente del PRI, René Juárez Cisneros; y el gobernador de Coahuila, Miguel Riquelme. Las primeras semanas de la campaña de Meade fueron turbulentas. La integración entre el equipo del exministro de Hacienda y las bases del PRI no terminaba de cuajar. El rechazo hacia el Gobierno de Enrique Peña Nieto dificultó la entrada del candidato en la contienda, al punto que los logotipos del partido del Gobierno prácticamente desaparecieron de los actos de campaña. Meade se concentró en un discurso en el que enfatizaba que lo importante eran los candidatos y no los partidos. Tras el segundo debate, que se celebró en Tijuana, el candidato del PRI definió más sus discursos para evitar señalar al Gobierno actual. Este miércoles, la encuesta del diario mexicano El Financiero le ubicaba, por primera vez en tres meses, en la segunda posición –con *NUMBER*% de las preferencias– pero todavía muy lejos del puntero,  AMLO. Meade ha sido constante durante su campaña pero no ha despertado la emoción de algunos de los mexicanos que se han decantado por el líder de Morena.
""El domingo vamos a contar votos, no amenazas"", ha manifestado Meade para referirse a López Obrador. El candidato del PRI se ha concentrado en atacar al puntero específicamente con sus propuestas en educación y seguridad. ""Amenza a la Suprema Corte, a las fuerzas armadas, a las familias con la amnistía a los delincuentes, a los empleos, a nuestros hijos amagando con destruir su educación y su futuro"", ha mencionado. El cierre de campaña ha concentrado a las estructuras más tradicionales del PRI, desde la Confederación de Trabajadores de México (CTM), algunos sindicatos y a la Fundación Colosio. El acto se ciñó a la tradición priista en la que varios grupos del PRI piden a sus afiliados asistir a los eventos políticos. Algunos de los simpatizantes de Meade subieron al escenario durante media hora para hacerse una selfie con él. A las *NUMBER* Meade cerró el último acto de su campaña para dar paso a Banda La Adictiva, una popular agrupación de música norteña. ""Hicimos la tarea en esta elección, la hicimos con propuestas. Está lista la estructura, el activismo y estamos listos para ganar en este jale"", cerró Meade.";https://elpais.com/internacional/2018/06/28/mexico/1530137075_864406.html
0;Proceso;Capturas de Duarte y Yarrington, mensaje contra la impunidad: Peña;"Capturas de Duarte y Yarrington, mensaje contra la impunidad: Peña
Una plenaria del corporativismo gremial, antiguo enclave de la opulencia priista, sirvió de escenario para el mensaje presidencial, a propósito de sus compañeros de partido, los exgobernadores de Tamaulipas, Tomás Yarrington y el exmandatario de Veracruz, Javier Duarte de Ochoa.
""Quienes quebrantan la ley deben responder por sus actos. Independientemente de lo que determine el Poder Judicial, estas detenciones son un mensaje firme y contundente del Estado mexicano contra la impunidad"", espetó el presidente Enrique Peña Nieto en el acto de toma de nota al Congreso del Trabajo (CT).
Cuestionado él mismo y su círculo cercano, especialmente tras la revelación periodística por la residencia de Las Lomas conocida como la Casa Blanca, el mandatario federal aseguró que quienes trabajan en el servicio público están conscientes de la demanda de integridad, probidad y honestidad.
La detención de Tomás Yarrington, realizada el domingo *NUMBER* en Florencia, Italia, así como la de Javier Duarte, ejecutada el sábado *NUMBER* en Guatemala, son las más recientes acciones contra exgobernadores mexicanos acusados de corrupción y saqueos millonarios al erario.
Peña Nieto no tuvo apariciones públicas por el periodo vacacional ni se había referido a la detención de sus ahora excompañeros de partido. Y, aunque en el caso de Yarrington su aprehensión no fue producto de gestiones mexicanas sino estadunidenses, Peña Nieto aprovechó para agradecer en los dos casos a las instituciones mexicanas y a las contrapartes internacionales con las que se habrían coordinado.
Luego de explicitar su reconocimiento a las áreas de inteligencia, seguridad y procuración de justicia, Peña Nieto mencionó que además de esas acciones se han impulsado leyes y nuevos marcos institucionales, como el Sistema Nacional Anticorrupción.
Así, aludiendo a las reformas legales, expuso que la detención de los exmandatarios estatales ""son avances"" y aseguró contar con el respaldo de millones de mexicanos que buscan vivir en un país de leyes e instituciones, de derechos y libertades, de estado de derecho sólido y eficaz.";https://www.proceso.com.mx/482599/capturas-duarte-yarrington-mensaje-contra-la-impunidad-pena
1;El Ruinaversal;"Margarita Zavala confiesa que si gana la presidencia ""habrá una segunda guerra contra el narco""";"Margarita Zavala confiesa que si gana la presidencia ""habrá una segunda guerra contra el narco""
México.- Gran sorpresa causó la candidata a la presidencia del *NUMBER*, Margarita Zavala, al revelar para una revista de política que en caso de obtener el poder ""definitivamente habrá una segunda guerra contra el narco"", señalando que continuará con la lucha que su marido Felipe Calderón comenzó cuando era mandatario, y que disparó considerablemente la violencia en México.
Zavala señala que ""ella admira a su marido y aprendió mucho de él"", mencionando que aunque la gente criticó la guerra contra el narco que ejecutó, la realidad es que actualmente también se registran altos índices de violencia:
""La gente critica los números rojos del gobierno de mi marido, pero la realidad es que en la actualidad tampoco vivimos muy seguros que digamos y eso que ya pasaron más de *NUMBER* años desde que abandonó el poder.
La verdad es que durante su sexenio la violencia no creció en comparación de otros mandatos, sino que fue más evidente porque mi marido no se anduvo con rodeos de andar callando a la prensa para que no publicara la situación que se vivía en el país,
Calderón fue un presidente que respeto mucho a la prensa y la libertad de expresión, y tal vez ese es su error, la gente quiere vivir en una burbuja y no darse cuenta que la violencia existe y que hay que combatir"", relató.
Margarita incluso sorprendió al mencionar que si gana, Felipe no ocupará el puesto de de Primer Damo, sino que lo nombrará titular de la Secretaría de la Defensa Nacional de México para que comande la segunda guerra contra el narco que implementará:
""Repito, no es verdad que la violencia se disparó por la guerra contra el narcó que ejecutó mi marido, la violencia ya estaba pero la gene no lo quería ver ni aceptar. Nosotros estábamos hartos de vivir en un país inseguro, en donde nisiquiera nosotros siendo los presidentes nos sentíamos protegidos. Actualmente seguimos hartos porque Peña Nieto decidió no continuar con la guerra, y eso provocó una desestabilidad en el país que ahora afecta a toda la población.
Yo continuaré con la guerra, por supuesto habrá daños colaterales, pero son estragos que tendremos que resignarnos a tener para que en un futuro nuestros niños puedan crecer en una nación segura, o por lo menos no tan peligrosa como la de ahora"", puntualizó tajante.";http://www.elruinaversal.com/2018/03/08/margarita-zavala-confiesa-que-si-gana-la-presidencia-habra-una-segunda-guerra-contra-el-narco/
0;EL UNIVERSAL;Promete AMLO invitar al Papa si gana elección;"Promete AMLO invitar al Papa si gana elección
Tras un encuentro de más de una hora con integrantes de la Conferencia del Episcopado Mexicano (CEM), el abanderado de Morena-PES-PT dijo a medios que expuso algunos de sus compromisos, principalmente conseguir la paz
En una reunión con obispos de la iglesia católica, Andrés Manuel López Obrador, candidato presidencial por la coalición Juntos Haremos Historia, propuso que después del *NUMBER* de julio, convocará a un diálogo en el que participe el Papa Francisco para lograr la paz en México. Tras un encuentro de más de una hora con integrantes de la Conferencia del Episcopado Mexicano (CEM), el abanderado de Morena-PES-PT dijo a medios que expuso algunos de sus compromisos, principalmente conseguir la paz, ""porque no es posible que continúe esta violencia"".
""Planteé que voy a convocar a todo el pueblo de México al momento tiene de qué triunfe nos, vamos a iniciar unos foros después del *NUMBER* de julio, antes de la toma de posesión, para analizar entre todos el problema de la inseguridad y la violencia, va a ser un debate nacional, un diálogo entre todos los mexicanos y todos los que tengan algo que aportar y el propósito es lograr la reconciliación y la paz.
""Les dije (a los obispos) que al triunfo de nuestro movimiento vamos a llevar a cabo este proceso de consulta, voy a invitar al Papa Francisco para que nos ayude, nos acompañe, en todo este proceso como voy a invitar también a otros líderes espirituales de otras iglesias y voy a invitar también a dirigentes de organización sociales del mundo y del país para que se analice todo lo relacionado con la inseguridad y la violencia y se realice un plan con el propósito de llegar a la paz"", expresó. Aclaró que no se habló de amnistía a narcotraficantes, ni tampoco la idea de reunirse con líderes del crimen organizado.";http://www.eluniversal.com.mx/elecciones-2018/promete-amlo-invitar-al-papa-si-gana-eleccion
1;Argumento Político;Encuentran miles de credenciales de elector en la casa de representante priista;"Encuentran miles de credenciales de elector, en la casa de representante priísta
En rede sociales y como ya es costumbre día con día circulan diversas denuncias en contra del Partido Revolucionario Institucional (PRI). Sin embargo, en una de las denuncias hechas por ""Soy politico y me mantiene el pueblo"" , está causando mayor indignación y controversia de miles de usuarios.
 En la redacción mencionan que ""Antorcha campesina Soteapan"" fue descubierto que esta comprando miles de credenciales de elector a favor de su candidato del #Pri Cenovio Ramirez Garcia.
 Hoy fue encontrado una casa que en su interior con tenia miles de credenciales de elector de habitantes de las comunidades de San Fernando, Ocotal Grande y Chico, La estribera, Las palomas, Morelos, La Magdalena, El Tulin, Buena vista, Benito Juarez, Ocozotepec, Mirador Saltillo, San pedrito y Amamaloya.
Testimonios de los habitantes de dichas comunidades afirman que fueron engañados por Antorcha Campesina para unos supuestos proyectos productivos y otros declaran que están comprando las credencias para retenerlos y que la gente no pueda emitir su voto. Hasta el momento la FEPADE de no se ha pronunciado ante dichas denuncias.";http://www.argumentopolitico.com/2018/03/encuentran-miles-de-credenciales-de.html
0;Excelsior;'Pato' Zambrano va por alcaldía de Monterrey… otra vez;"'Pato' Zambrano va por alcaldía de Monterrey… otra vez
Patricio Zambrano deberá ser elegido por los militantes del PT, del PES y de Morena, quienes a través de una encuesta decidirán si será su candidato; en *NUMBER*, se postuló para el mismo cargo
Patricio Zambrano se postulará por segunda ocasión como candidato a la alcaldía de Monterrey, Nuevo León.
'El Pato', quien se hizo famoso por participar en el reality show de televisión ""Big Brother"", será respaldado por el Partido del Trabajo para la coalición ""Juntos Haremos Historia"".
En días recientes, Zambrano ha publicado en sus redes sociales recorrer las calles de Monterrey; en videos e imágenes se le observa interactuando con la ciudadanía y usando el transporte público.
'El Pato' deberá ser elegido por lo militantes del PT, del PES y de Morena, quienes a través de una encuesta decidirán si Zambrano será su candidato
En *NUMBER*, Zambrano también se postuló para el mismo cargo público por el Partido del Trabajo.";http://www.excelsior.com.mx/nacional/2018/03/05/1224433
1;Censura 0;"Angélica Rivera: ""AMLO no llegará a ser presidente ¿Quién quiere un pobretón de líder?""";"Angélica Rivera: ""AMLO no llegará a ser presidente ¿Quién quiere un pobretón de líder?""
La primera dama Angélica Rivera vuelve a dar de que hablar luego que un periodista le preguntara que opina sobre la candidatura de Andrés Manuel Lopéz Obrador a la presidencia de México y sus palabras dejaron mucho que desear.
""Ese señor no tiene la capacidad para liderar a toda una nación, no está preparado, es más, estoy segura que no llegará a la presidencia"" señaló.
Asimismo cuestionó al periodista que le hizo la pregunta y le dijo: ""Dime tu, ¿Quién quiere un pobretón de líder?""
Sus palabras han hecho que en las redes sociales la destrocen como nunca";http://censura0.com/2018/04/03/angelica-rivera-amlo-no-llegara-a-ser-presidente-quien-quiere-un-pobreton-de-lider/
0;La vanguardia;Cabo Verde y Canarias prolongan hasta *NUMBER* su cooperación en cuatro sectores;"Cabo Verde y Canarias prolongan hasta *NUMBER* su cooperación en cuatro sectores
Las Palmas de Gran Canaria, *NUMBER* mar (EFE).- Cabo Verde y Canarias han suscrito hoy un acuerdo por el que refuerzan su colaboración económica hasta *NUMBER* en cuatro sectores que creen estratégicos para los dos archipiélagos: energías renovables y agua, economía ligada al mar, innovación y tecnología, y cooperación empresarial.
El ministro de Economía de Cabo Verde, José da Silva Gonçalves, y el consejero del área en el Gobierno canario, Pedro Ortega, han rubricado hoy en Las Palmas de Gran Canaria ese documento, que traslada a la práctica los acuerdos que sus dos gobiernos ya habían cerrado en la cumbre que celebraron en Praia en noviembre de *NUMBER*.
""Canarias y Cabo Verde compartimos retos y metas en relación con el desarrollo de determinadas actividades y sectores económicos que resultan prioritarios nuestro futuro"", ha explicado Ortega.
Por su parte, Da Silva Gonçalves ha subrayado que su país ve en Canarias una referencia para muchas cuestiones por las semejanzas que existen entre los dos archipiélagos, pero en las que las islas españolas tienen una experiencia ""mucho más avanzada"" de la Cabo Verde quiere aprender.
Y, en cambio, ha añadido, Cabo Verde puede ofrecer a Canarias oportunidades de inversión que pueden resultar interesantes para sus empresas por el desarrollo que está teniendo el país, por sus relaciones con África Occidental y por su marco comercial privilegiado de relaciones con EEUU (exportaciones sin aranceles).
""Cada vez vemos con más frecuencia que esta colaboración que empezó hace tiempo con los dos gobiernos se está trasladando a la iniciativa privada, que aprovecha para invertir y ofrecer buenos servicios a Cabo Verde"", ha señalado el ministro.";http://www.lavanguardia.com/Política/20170320/421039721039/cabo-verde-y-canarias-prolongan-hasta-2020-su-cooperacion-en-cuatro-sectores.html
